,title,description,title_label,description_label
0,서울창업허브 공덕  하반기 입주기업 모집 총  개사 내외 선발,신사업 분야로는 인공지능   빅데이터    블록체인  서비스플랫폼  실감형콘텐츠  지능형로봇  스마트제조  시스템반도체  자율주행차  전기수소차  바이오  의료기기  기능성 식품  드론 개인 모빌리티  미래형 선박  ,1,0
1,인천 일자리 창출 우수기업에 가천대 길병원 의료진 창업  카이미  선정,국내 최고 수준 연구중심병원인 가천대 길병원은 가천의생명융합연구원  가천의료기기융합센터  인천스타트업파크를 중심으로 인공지능 알고리즘 학습과  빅데이터  제공  시제품 실증 등 정 교수 연구개발이 성과를  ,1,1
2,여수시  여름 성수기 관광객 유치  박차 , 일 여수시에 따르면 관광  빅데이터  분석 결과 올해 상반기 누적 방문객이  만 만명으로 지난해 상반기 누적 방문객  천 만명 대비   증가했다  올해  월 기준 주요 관광지를 방문한 방문객 수도 총  만명으로  ,0,0
3,인공지능 데이터 산업 일자리 네트워크 출범,광주상공회의소는  일  층 회의실에서 미래 신산업 분야 기업들이 참석한 가운데 인공지능 데이터 산업 일자리 네트워크 출범식 및 제 차 회의를 개최했다고 밝혔다  인공지능 데이터 산업 일자리 네트워크는 미래  ,0,0
4, 게임 상장기업 브랜드평판   위 크래프톤  위 엔씨소프트  위 넷마블 순, 빅데이터 를 분석한 결과   위 크래프톤  위 엔씨소프트  위 넷마블 순으로 분석됐다  한국기업평판연구소는 게임 상장기업  개에 대한 브랜드  빅데이터  평판분석을 했다   년  월  일부터  년  월  ,1,1
5,복지부  안전한 보건의료 데이터  산업적 활용으로 디지털 헬스케어 혁신 선도한 ,보건복지부 은성호 첨단의료지원관의 격려사 모습 영상갈무리   데이터   법 개정 이후 인공지능  의료기기 신약 개발 등 디지털 헬스케어 산업 분야에서 보건의료  데이터  활용 수요와 사례가 증가하고 있다  ,0,0
6,전환기 한 중 교류 협력 증진 위한 광주시의 역할   이동수,중국은   인공지능   빅데이터  사물인터넷  데이터 센터 등  동수서산    프로젝트를 추진하고 있는데  이를 광주시의 자동차    등과 연계하는 방안도 효과적인 접근이다  한 중관계는 국제환경의 구조적 변화에  ,1,0
7,한국로슈진단 제주한라병원  디지털병리로  환자 맞춤의료  앞당긴다,나아가 이를 통해 쌓인 데이터는 환자 맞춤의료를 실현하는  빅데이터 로서의 역할을 할 수 있어 정밀의료시대 큰 주목을 받고 있다  한국보건산업진흥원에 따르면 글로벌 디지털병리 시장은  년까지 연평균   이상  ,0,1
8, 핸드크림 브랜드평판   위 록시땅  위 샤넬  위 카밀 순, 빅데이터  분석결과   위 록시땅 핸드크림  위 샤넬 핸드크림  위 카밀 핸드크림 순으로 분석됐다    한국기업평판연구소는 국내 소비자에게 사랑받는 핸드크림 브랜드에 대한 브랜드  빅데이터  평판분석을  ,0,1
9,금오공대 김경진 이경준 교수  회 과학기술우수논문  수상, 금오공대 제공 금오공과대학교 기계시스템공학과 김경진 교수와 수리 빅데이터 학과 이경준 교수가  제 회  이경준 수리 빅데이터 학과 교수는 한국데이터정보과학회 추천으로  점진적 중도절단에서 십분위분배율을  ,0,0
