,title,title_label,description,description_label
0,서울창업허브 공덕  하반기 입주기업 모집 총  개사 내외 선발,1,신사업 분야로는 인공지능   빅데이터    블록체인  서비스플랫폼  실감형콘텐츠  지능형로봇  스마트제조  시스템반도체  자율주행차  전기수소차  바이오  의료기기  기능성 식품  드론 개인 모빌리티  미래형 선박  ,0
1,여수시  여름 성수기 관광객 유치  박차 ,0, 일 여수시에 따르면 관광  빅데이터  분석 결과 올해 상반기 누적 방문객이  만 만명으로 지난해 상반기 누적 방문객  천 만명 대비   증가했다  올해  월 기준 주요 관광지를 방문한 방문객 수도 총  만명으로  ,0
2,인공지능 데이터 산업 일자리 네트워크 출범,0,광주상공회의소는  일  층 회의실에서 미래 신산업 분야 기업들이 참석한 가운데 인공지능 데이터 산업 일자리 네트워크 출범식 및 제 차 회의를 개최했다고 밝혔다  인공지능 데이터 산업 일자리 네트워크는 미래  ,0
3,복지부  안전한 보건의료 데이터  산업적 활용으로 디지털 헬스케어 혁신 선도한 ,0,보건복지부 은성호 첨단의료지원관의 격려사 모습 영상갈무리   데이터   법 개정 이후 인공지능  의료기기 신약 개발 등 디지털 헬스케어 산업 분야에서 보건의료  데이터  활용 수요와 사례가 증가하고 있다  ,0
4,전환기 한 중 교류 협력 증진 위한 광주시의 역할   이동수,1,중국은   인공지능   빅데이터  사물인터넷  데이터 센터 등  동수서산    프로젝트를 추진하고 있는데  이를 광주시의 자동차    등과 연계하는 방안도 효과적인 접근이다  한 중관계는 국제환경의 구조적 변화에  ,0
5,금오공대 김경진 이경준 교수  회 과학기술우수논문  수상,0, 금오공대 제공 금오공과대학교 기계시스템공학과 김경진 교수와 수리 빅데이터 학과 이경준 교수가  제 회  이경준 수리 빅데이터 학과 교수는 한국데이터정보과학회 추천으로  점진적 중도절단에서 십분위분배율을  ,0
6, 돈 아끼려고 이런 짓을 미국 발칵 뒤집은 독성 케이블  후폭풍 ,0,이날 시티그룹은   프론티어 커뮤니케이션  텔레폰 앤드  데이터  시스템스  등 통신업체의  최원석 신한투자증권 연구원은  중국 정부의 디지털 인프라 구축 및  데이터  자원 관리에 강점을 지닌 국유  ,0
7, 직장인들 홀딱 반했다 국밥 찾던  도 돌변하게 만든 음식  여기잇슈 ,1, 국민카드가 매출  빅데이터 를 이용해 서울 및 수도권의 주요 업무지구 인근 지하철에 하차한 자사 고객의 올해  월 점심 시간대 시 오후  시 의 카드 이용 현황을 조사한 결과  이 기간 직장인들의 점심시간 이용액이  ,0
8,고창군 베리 바이오식품연구소  김치산업 본격 진출,0, 단계로 인공지능 빅데이터  기반 푸드테크 도입으로 개인맞춤형 김치와 글로벌 시장 진출을 위한 연구개발 및 생산  마케팅 전략으로 한 단계 더 도약할 전망이다  베리 바이오식품연구소 이사장 심덕섭 군수는  ,0
9, 축산 데이터  기반 소통 협력 혁신행정 선도 ,1,축산물품질평가원 원장 박병홍 은 지난  일 세종시 본원에서 축산 데이터  활용 활성화를 위한  축산 데이터  기반의 축산유통서비스 선도기관  비전 선포식을 개최했다  이날 행사에는 축평원 임직원이 참석해 축산분야의  ,0
10,한국 낸드플래시 적자 쌓이는데 세계  위 위 합병 추진,1,상태에서도 데이터가 계속 저장되는 플래시 메모리다  주로 스마트폰 의 주저장 장치로 활용되며 사물인터넷   빅데이터  인공지능 의 개발과 함께 수요가 증가하고 있다   년 삼성전자가 일본 도시바로부터  ,0
11, 데이터 기반 스마트농업 촉진 정보교류 활성화  맞손 ,0,농촌진흥청 디지털농업추진단과 팜식스플러스는 지난  일 경북 김천시 팜식스플러스에서  데이터 기반 디지털농업 분야 상호발전을 위한 농업 데이터  활용 협력 에 관한 업무협약 을 체결했다  양기관은 이번  ,0
12,동원과학기술대   교육과정 인증제 혁신을 통한 현장 중심 창의 융합적인 인재 ,1,최근 수년 동안 인공지능 과  빅데이터    사물인터넷  등 신기술 분야가 각광을 받으며 관련 학과가 신설됐다면  최근에는 학문간 학제간 전공간 융합하는 교육이 활발히 진행되고 있다  기존 전공과  ,0
13, 단독   엔솔이 뭘 봤길래 돈을 스타트업 찾아다니며 지분 투자,0,원프레딕트는  빅데이터 와   알고리즘을 활용한 설비 데이터를 분석해 현재 상태를 진단한다  원프레딕트의 기술을 활용하면 설비의 고장을 예방해 불필요한 비용을 줄일 수 있다   에너지솔루션은 데이터 분석  ,0
14, 빅데이터 속 개인정보는  삭제  인천에 가명정보활용지원센터,0, 개인정보보호위원회 제공  인천 가명정보 활용 지원센터 가  일 송도 미추홀타워에 문을 열었다 가명정보란  데이터  속에 포함된 개인정보 일부를 삭제 대체해 해당  데이터 가 누구의 것인지 모르도록 처리한 것을  ,0
15,동양미래대   실용기술 중심 프로젝트식 교육 추구 전문성 인성 사회성 갖춘 ,0, 차년도에는 인공지능 소프트웨어학과   빅데이터 공학과 등 첨단학과 신설 및 마이크로전공트랙 제도를 개편함과 동시에 교육목표를 달성하기 위해 습실 환경 개선  기자재 및 재료 지원  교수 대상의 교수법과  ,0
16,엔비디아 독주 막는다 차세대  반도체 개발에  드림팀 뜬다 미래기술 ,0,블록이나  데이터  패스를 포함하고 있다 며  성능개선의 여지가 있고 전력 면에서도 불필요한 소모가 있다 고 지적했습니다    알고리즘에 최적화된 고속  데이터  전송 구조 설계를 바탕으로  전용 반도체가  ,0
