,title,title_label,description,description_label
0,인천 일자리 창출 우수기업에 가천대 길병원 의료진 창업  카이미  선정,1,국내 최고 수준 연구중심병원인 가천대 길병원은 가천의생명융합연구원  가천의료기기융합센터  인천스타트업파크를 중심으로 인공지능 알고리즘 학습과  빅데이터  제공  시제품 실증 등 정 교수 연구개발이 성과를  ,1
1, 게임 상장기업 브랜드평판   위 크래프톤  위 엔씨소프트  위 넷마블 순,1, 빅데이터 를 분석한 결과   위 크래프톤  위 엔씨소프트  위 넷마블 순으로 분석됐다  한국기업평판연구소는 게임 상장기업  개에 대한 브랜드  빅데이터  평판분석을 했다   년  월  일부터  년  월  ,1
2,한국로슈진단 제주한라병원  디지털병리로  환자 맞춤의료  앞당긴다,0,나아가 이를 통해 쌓인 데이터는 환자 맞춤의료를 실현하는  빅데이터 로서의 역할을 할 수 있어 정밀의료시대 큰 주목을 받고 있다  한국보건산업진흥원에 따르면 글로벌 디지털병리 시장은  년까지 연평균   이상  ,1
3, 핸드크림 브랜드평판   위 록시땅  위 샤넬  위 카밀 순,0, 빅데이터  분석결과   위 록시땅 핸드크림  위 샤넬 핸드크림  위 카밀 핸드크림 순으로 분석됐다    한국기업평판연구소는 국내 소비자에게 사랑받는 핸드크림 브랜드에 대한 브랜드  빅데이터  평판분석을  ,1
4, 기업의 아메리칸 드림   하드웨어 에 답 있다 ,1,글로벌 시장조사기관  스태티스타 에 따르면 실리콘밸리 내  빅데이터  솔루션 유니콘 기업의 수익률은 연평균  에 가까운 성장률을 보이고 있다  이 같은 산업 발전 흐름은 미국 기업뿐만 아니라 전 세계  ,1
5, 기고   빅데이터  활용 위한 경기도 통합데이터센터 구축 필요,0,이처럼 우리 사회 곳곳에 스며든  산업  그 기반에는  데이터 가 있다 년  월  공공 데이터 의 제공 및 이용 활성화에 관한 법률 이하 공공 데이터 법 이 국회 본회의를 통과했다  약  년 뒤  데이터  산업진흥 및  ,1
6, 미리보는 이데일리 신문 환자 의사 플랫폼 모두 속터지는 비대면진료,0,이자부담 어쩌나  손보사 빅  상반기 차보험 손해율  대 선방  금융공공 데이터  개방  년 조회수  위  기업재무정보   카드  우즈베키스탄 진출 스탄  국가 진출 시동  글로벌  고물가 고령화에 유럽은  ,1
7, 년 전라북도 성장사다리기업 최고경영자 혁신포럼 개최,1,전 박사는  챗  이해와 전망 이라는 주제로  차 산업혁명 대비를 위해  빅데이터  기반 인공지능을 활용한 챗 의 개념과 전망에 대한 강연을 진행했다  강연 이후 도는 올해 성장사다리 신규지정 기업  개 사에 지정서가  ,1
8, 광주창조경제혁신센터       임관섭 리더스오브그린소사이어티 대 ,1,또 한 가지는 데이터를 꼽을 수 있겠다  현재 미국 런던 암스테르담 등에서는 대중이 친환경 일상을 어떻게 보내는지에 대한 사진 데이터를  빅데이터  분석    학습을 통해 전략을 세우는 데 활용하고 있다  친환경  ,1
9,전북 성장사다리기업 최고경영자 한자리,1,이날 포럼에서는 전 성균관대학교 산학교수 전윤호 박사의  챗  이해와 전망 이라는 주제로  차 산업혁명 대비를 위해  빅데이터  기반 인공지능을 활용한 챗 의 개념과 전망에 대한 강연도 이어졌다  김종훈 전북도  ,1
10,중 저신용자 비율 맞추려 고신용자 대출 잠그는 인뱅,0, 빅데이터  등의 혁신적인 방식으로 기존 금융권에서 소외되었던 중 저신용자 대상 대출을 적극적으로 해나가는 것이 인터넷전문은행이 설립 조건이었던 셈이다  중 저신용자 대상 신용대출 비중은 전체 가계대출 대비  ,1
11, 취임  년  박성효  소상공인 시장 위기 극복 ,1,오는  년까지 소상공인을 위한  빅데이터  플랫폼 구축에도 나섭니다  이를 통해 상권이나 경쟁점포  매출액과 같은 정보를 받을 수 있게 전망입니다 또 소진공은 같은 기간 디지털 전통시장을  개까지 늘리고 전국의  ,1
12,유클리드   억년 전 우주에서 암흑물질의 비밀 찾아낼까  황정아의 우주적  ,0,유클리드 우주망원경은 올해  월 첫 이미지를 내놓을 예정이며  주요 관측  데이터  공개는  년   년  우주의 기원을 밝히고  생명의 근원에 대한  빅  퀘스천 을 찾기 위한 우주망원경의 여정은 앞으로도 계속될  ,1
