,title,description,title_label,description_label
0,윌라 오디오북  주년  콘텐츠 기술개발 강화로 성장세 지속,실제로   배속 개발  개월 이후 조사한  월  데이터 에서는 구독자 한 명당 월평균  시간의 최다 평균 재생시간을 기록했다  기존에는 장편 소설을 청취하는 데 상당한 시간이 소요되었다면    배속을 적용하면 재생  ,0,0
1,도시 브랜드평판  부산 서울 용인 순, 빅데이터  분석결과  위 부산시   위 서울시   위 용인시 순으로 분석됐다  한국기업평판연구소는 대한민국 도시에 대해 브랜드 평판조사를 했다  대한민국 도시 브랜드에 대한 지난 한달간  빅데이터  평판을  ,1,1
2,경남 스마트팜 기술   중동 찍고 세계로 , 앵커  정보통신 기술과  빅데이터 를 접목한 똑똑하고 편리한 농업  경남의 스마트팜 농업이 세계로 수출되고 있습니다  오랜 시설재배 경험과 제조업에 특화된 지역 환경에 가격 경쟁력까지 갖췄다는 평갑니다  배수영  ,0,1
3, 데뷔  년  박명수  피프티피프티를 향한 쓴소리 돈이나 많이 벌고 그런 얘 ,이날 방송에서  빅데이터  전문가 전민기는  빌보드 차트에서 돌풍을 일으키며 중소돌의 기적이라고 불린 피프티 피프티 멤버들과 소속사 분쟁 또 저작권 분쟁까지 뜨거운 이슈다 라며  너무 잘되고 있었다  세계적인  ,0,1
4,허성욱    클라우드  지원 강화해 디지털 모범 국가 도약할 것 ,있도록  데이터 와 컴퓨팅 자원과 같은 인프라 구축을 지원하겠다 고 말했다   클라우드 프로젝트에 대해서는  초고속 저전력 국산   반도체를 기반으로  데이터 센터를 고도화할 수 있도록  클라우드 프로젝트를  ,0,0
5,빅테크 기업  거대   언어모델  양보다 질 소형화 경쟁,챗 의 경우 각종  데이터  학습에 수개월이 걸렸고  만달러 약  억원  이상의 돈이 투입됐다  반면  매개변수를 줄인 대신 질 좋은  데이터 를 학습시키고 미세 조정 파인 튜닝 하는 방식으로 성능을 개선하면  ,1,0
6,귀농 귀촌 정보 한눈에  그린대로  플랫폼 개시,또한 공간정보  기반으로 데이터를 연계해 주요 정보를 지도상에서 확인할 수 있도록 구성했다  희망  한편 농식품부는 앞으로  단계 구축사업을 통해  빅데이터  분석 기반 및 인공지능  기능을 도입해 맞춤형 추천  ,0,1
7, 라디오쇼  박명수  피프티피프티 사태 언급 돈이나 많이 벌고 얘기하지 , 월  일 방송된   쿨   박명수의 라디오쇼 에서는  빅데이터  전문가 전민기와 함께하는  검색 차트  코너가 진행됐다  전민기는  안타까운 키워드다  빌보드 차트에서 돌풍을 일으키며  중소돌의 기적 이라고 물린  ,0,1
8,국내 첫  농업 유니콘  트릿지    손잡고  푸드 수출 늘린다, 와  데이터  기반  푸드 수출 확대를 위해 상호협력에 나선다고  일 밝혔다  양측은 전날 신호식 트릿지 대표와 김춘진   사장이 참여한 가운데  데이터  기반 수출 확대 및 저탄소 농업 활성화 방안  논의를 위한  ,1,0
9,글로벌  석학  앤드류 응   는 전기  모든 분야 응용기술 ,유형의  데이터 로 확장되면서 발생하는 새로운 기회와 가능성에 대해 언급했다  아울러 인공지능이 가진  국내   스타트업 셀렉트스타 김세엽 대표는  데이터  중심 인공지능 을 주제로   서비스 성능을 좌우하는  ,0,1
10, 선생님   이 환자 지금 위급합니다  똑똑한  첨단 닥터 사부님 도우 , 빅데이터 를 기반으로 분석 결과를 낸다  환자의 나이와 성별은 물론 혈압 맥박 체온 등 주요 활력징후를  여러 재활환자를 대상으로 한 임상연구를 통해 관련 의료 데이터도 함께 축적하고 있다  최근 도입한 웨어러블  ,1,1
11,과기정통부    석학  앤드류 응과의 대담회  개최,유형의  데이터 로 확장되면서 발생하는 새로운 기회와 가능성에 대해 설명했며   가 가진 위험성을  국내   스타트업 셀렉트스타의 김세엽 대표는  데이터  중심 인공지능 을 주제로   서비스 성능을 좌우하는  데이터  ,0,1
12,앤드류 응  는 전기처럼   분야 응용 다목적 기술  석학 대담회,김세엽 셀렉트스타 대표  오혜연 한국과학기술원  교수  박이안 한국투자공사 디렉터 등도 참여해   서비스 성능을 좌우하는  데이터  활용사례  윤리와 신뢰성 확보방안 등을 주제로 발표와 토론을 했다  이종호  ,0,0
13,세계적   석학  앤드류 응과 대담회 는 다목적 기술 ,이와 함께 생성형   기반의 로우 코드 플랫폼을 통한   응용 프로그램 개발과 생성형  가 텍스트 이미지를 비롯한 다양한 유형의  데이터 로 확장되면서 발생하는 새로운 기회와 가능성에 대해 설명했습니다  또  ,0,1
14,과기정통부    전문가 앤드류 응 초청 대담회,이와 함께 응 교수는 생성형   기반의 로우 코드 플랫폼을 통한   응용 프로그램 개발과 생성형  가 텍스트 이미지를 비롯한 다양한 유형의  데이터 로 확장되면서 발생하는 새로운 기회와 가능성을 설명했다  이외에도  ,1,1
15,서비스 산업 디지털화 속도  경쟁력 강화,이날 발표한 전략에 따라  정부는 서비스산업의 디지털화에 속도가 붙을 수 있도록 데이터 활용 환경을 정비해  빅데이터  융합 기반을 조성할 방침이다  먼저 인공지능  허브 내 스타트업이 활용할 수 있는 산업  ,0,1
16,충남대병원 조강희 교수 연구팀 논문 노인의학 분야 국제학술지에 실려,연구팀은 질병관리청 국민건강영양조사  빅데이터 를 기반으로 하여  세 이상 성인 중 골다공증과  본 연구는 골근감소증 환자의 신체 활동을 국가 단위  빅데이터 를 활용하여 분석한 최초의 보고이며 향후 골근감소증  ,0,0
17, 년 간 구축한   풀스택 토대로  국방   개발 , 국방  는 우크라이나에서도 봤듯이 약소국이 전세를 뒤집을 수 있는 결정적인 기술 이라며  데이터  파이프 는 엣지 디바이스에서  데이터 를 수집하고 저장해  를 학습하고 배포하는 서비스의 전 과정을 담은  ,0,1
18, 인터뷰    신뢰성  완전하진 않아도 올곧게 가야 한다,  기술 발전에 필요한  데이터  수가 급증하고 생성형   등 새로운 기술들이 등장하면서   관련 서비스와  공급사들은  믿을 수 있는  데이터 만 사용했다    이상 정확도를 보인다  등으로 기술 신뢰도를  ,0,0
19,마취통증의학과 의원   년 사이  개소 증가,보건의료 빅데이터  개방시스템에 따르면  지난  분기 현재 전국의 마취통증의학과 의원수는 총  개소로 앞선  분기보다  개소  전년 동기보다는  개소가 늘어났다    지난  분기 전국의 마취통증의학과  ,0,0
20, 생방송투데이  서울 서초동 갈비탕 식당  갈비찜 냉면  안양 박달시장 찹 ,맛집을   빅데이터  랭킹맛집  코너에서는 서울 서초구 소재 갈비탕 맛집을 찾았다   생방송투데이      여행 전주 편   수목원   오목대    물짜장 중식당   김밥쌈 식당   비빔밥와플 디저트카페   빅데이터  랭킹맛집  ,0,1
21, 생방송투데이  서초동 갈비탕 맛집 등 수도권 최고의 갈비탕  , 일 방송되는    생방송투데이  빅데이터  랭킹 맛집 에서는 수도권 최고의 갈비탕   맛집이 공개된다  서울 서초구 서초동에 위치한 이 식당은 함흥냉면 전문점으로 회냉면  물냉면  비빔냉면 등을 판매한다  ,1,1
22, 생방송 투데이  오늘 방송 맛집은  반찬  갈비탕  꽈배기 맛집 소개,반찬  갈비탕  꽈배기 맛집 소개   네이버  한선생부엌  업체 사진 캡쳐  서울 성북구  한선생부엌   빅데이터  랭킹 맛집  코너에선  수도권 최고의 갈비탕   편을 다룬다  사진   생방송 투데이  오늘 방송 맛집은  반찬  ,0,1
23,한국농수산식품유통공사  트릿지와 농수산식품  빅데이터 저탄소 식생활 협력 , 빅데이터  분야 상호 협력을 통한 디지털전환 및  푸드 수출 확대 방안을 모색했다  이어  김 사장은 전  한편   년 설립된 트릿지는 애그테크 유니콘기업이자 데이터기반 농축산물   솔루션 플랫폼으로 농축산물  ,1,1
24,  정국    일 연속 정상  위, 일 방송된 엠넷 음악 프로그램  엠카운트다운 에서 특별한 국내 활동 없이도  위에 올랐다   글 이소영 프리랜서  이미 빅히트뮤직  차트 데이터  트위터   본 기사는 매일경제   제 호 기사입니다 ,0,1
25,한국농수산식품유통공사  대한민국 농수산식품산업 디지털 전환 앞장선다, 빅데이터    혁신자문위원회 를 열고 내외부 전문가와 함께 공사 디지털 혁신전략 추진현황 점검과 발전방안을 모색했다   빅데이터    혁신자문위원회 는  빅데이터    등 각 분야 외부 전문가들로 구성된   ,0,0
26,차세대  설명서 공개한 네이버 큐 와  클로바  차이는   아이티라떼 ,방대한  데이터 를 학습시켰기 때문에 오류 없는 정보를 제공할 수 있다고 기대하고 있죠  여기에 네이버는  한발 늦은 네이버가 방대한 국내  데이터 와 이용자들에 한결 익숙한 사용자 화면 등을 무기로 반격에 성공할  ,0,0
27, 생방송투데이  전주 여행 맛집 위치는  물짜장 김밥쌈 비빔밥와플  ,    여행 전주 편   수목원   오목대   물짜장 중식당   김밥쌈 식당   비빔밥와플 디저트카페   빅데이터  랭킹맛집  수도권 최고의 갈비탕   편   서울 서초동 갈비찜 냉면 식당   우리 동네 반찬 가게  최고를 위한  ,1,1
28,  한국사업장    국산자동차판매점  부문 동반  위 달성,또한   에서는 미래기술 진단  정비 중장기 로드맵을 구축해 체계적인 교육을 통해 기술인재를 육성하는 한편  첨단기기 개발 및 적용   빅데이터  기반 진단분석 시스템 도입 등으로 하이테크 서비스 역량을  ,1,0
29,  실적 전망  또   엇갈린 네이버 카카오 왜 ,카카오는 또 지난해  월     판교  데이터 센터 에 불이 나면서 대다수 서비스가 멈추는 장애를 겪은 뒤  자체   마련 등을 위해 인프라 투자금을 높이고 있다  인프라 구축 비용 상승에 따른 영업이익 감소는  ,1,0
30,한국공인중개사협회   빅데이터  플랫폼  한방  앱  월 출시, 빅데이터  기반 부동산물건분석보고서를 모바일에서 바로 열람할 수 있다  공적장부 조회기능을 통해 관심매물의 면적과 구조  물건 현황 등이 표시된 공공데이터를 이용자가 직접 바로 확인할 수 있어 안전 거래에 도움을  ,0,1
31, 생방송 투데이 맛집   갈비탕   회냉면   , 갈비탕   회냉면    오늘 월  일  금요일     생방송 투데이 맛집   회에서는  빅데이터  랭킹 맛집   빅데이터  랭킹 맛집  수도권 최고의 갈비탕   편  서초면옥  서울 갈비탕 최강 맛집  서초면옥 을  ,0,1
32, 숭실대    명문대학  사이버 보안 반도체 인재 양성 선도,학과는  개발 빅데이터 인공지능 정보보호 영역의 교육 전문성을 인정받은  대학 내에 개설된다  학생들은  코드 관리 역량  모바일 보안  데이터 보안  인공지능  보안 등 사이버 보안 영역 전반에 걸친  ,1,0
33, 상명대  현장형  교육  새로운 가치 만드는 창의인재 키운다, 빅데이터 경진대회 를 진행하고 있다  학생들의 아이디어를 기반으로  데이터 클라우드 기술을 활용해 사회 문제를 해결하고자 한다  이 대회는  와 함께하는  빅데이터  경진대회  와 함께하는   경진대회 두  ,1,0
34, 생방송 투데이 맛집   갈비탕  서울 최고 맛집, 갈비탕  서울 최고 맛집 오늘 일  오후    생방송 투데이   회에서는  빅데이터  랭킹 맛집  수도권 최고의 갈비탕   편  인생 분식  나눔으로 커지는 행복  추억의 옛날 도넛 편  보고 먹고 즐기고    ,1,1
35, 생방송투데이 맛집  갈비탕 전주 여행  , 와  우리 동네 반찬 가게   빅데이터  랭킹 맛집   인생 분식  코너 순으로 진행된다  첫 번째 코너  보고  이어서  생방송투데이  빅데이터  랭킹맛집  코너는 수도권 최고의 갈비탕  를 공개하고  그 중  ,1,1
36, 대형마트 틀 벗는다 이마트 홈플러스 등 리뉴얼 속도,  포맷에서는 고객들의  상품별 장보기 빈도  구매 연관 상품 등  빅데이터  분석을 통해 진열 효율을 높이는  연관 진열  전략이 도입됐다  다양한 종류의 커피와 그에 맞는 캡슐 커피 머신을 함께 진열한  커피  ,0,1
37,박명수  피프티 피프티 사태에 탄식  돈이나 많이 벌고 말하지 ,이날  빅데이터  전문가 전민기는  중소돌의 기적 이라 불린 피프티 피프티 멤버들과 소속사 간의 분쟁이 뜨거운 이슈 라고 전하며  연관검색어  위가 빌보드다  정말 잘 되고 있었는데 멤버들이 소속사에 전속계약  ,0,1
38, 홍준철의 여의도 안테나  용산  내년 총선 경선원칙 주문이  이기는 총선   ,최근에는  빅데이터 를 도입해 이를 통해 지역 후보자의 인지도와 호감도  긍정 부정 평가 등을 모두 살피겠다는 방침이다  관건은 김기현 당 대표를 비롯해 최고위원들과 여의도연구원장이 모두 친윤계라는 점이다  그나마  ,0,1
39,딥노이드  과기부  경호 대응기술 개발  국책과제 주관기관 선정,과제명은    빅데이터  구축을 통한 경호 보안검색  대응 기술 개발 이다  과제 수행 기간은  년  월 일까지다  총 사업비 중 정부 출연기금은  억원  딥노이드는  억원을 부담한다  자기자본 대비 정부  ,0,1
40, 배종찬 칼럼  윤석열 대통령 지지율 요동치게 하는 치명적인 변수,어떤 치명적인 이유가 있을까  우선  빅데이터 로 윤 대통령의 해외 순방에 대해 어떤 평가가 나오는지 분석해 보았다   빅데이터  심층 분석 도구인 오피니언라이브의 캐치애니 로 지난  일 기간 동안  와  ,0,1
41,닭꼬치창업 프랜차이즈  청춘닭꼬치  수원정자점 신규 오픈,최근 청춘닭꼬치는 공정거래위원회에 등록된 정보공개서  빅데이터  기반으로 프랜차이즈의 생산성  성장성  안정성  노하우 집약도  본사 수익성  가맹점 수익성의  개 지표를 통해 전체  개의 프랜차이즈 중  가맹하고  ,1,0
42,공인중개사협회  부동산정보 플랫폼  한방  앱  월 개편 출시, 빅데이터  기반 부동산건물분석보고서를 모바일에서 바로 열람할 수 있는 기능을 추가한다  공적장부 조회기능은 관심물건의 면적과 구조  물건 현황 등이 표시된 공공데이터를 이용자가 직접 바로 확인할 수 있어 거래  ,0,1
43,서울대  초거대   원천 기술 확보 계획,초거대   모델 및 플랫폼 최적화 센터   개소식이 진행된 서울대학교 문화관 대강당 전경 서울대  데이터 사이언스대학원 교수들이 센터의 주축을 맡고    개발에 필수인 병렬처리  모델 경량화     응용 등의  ,0,0
