,title,title_label,description,description_label
0,윌라 오디오북  주년  콘텐츠 기술개발 강화로 성장세 지속,0,실제로   배속 개발  개월 이후 조사한  월  데이터 에서는 구독자 한 명당 월평균  시간의 최다 평균 재생시간을 기록했다  기존에는 장편 소설을 청취하는 데 상당한 시간이 소요되었다면    배속을 적용하면 재생  ,0
1,허성욱    클라우드  지원 강화해 디지털 모범 국가 도약할 것 ,0,있도록  데이터 와 컴퓨팅 자원과 같은 인프라 구축을 지원하겠다 고 말했다   클라우드 프로젝트에 대해서는  초고속 저전력 국산   반도체를 기반으로  데이터 센터를 고도화할 수 있도록  클라우드 프로젝트를  ,0
2,빅테크 기업  거대   언어모델  양보다 질 소형화 경쟁,1,챗 의 경우 각종  데이터  학습에 수개월이 걸렸고  만달러 약  억원  이상의 돈이 투입됐다  반면  매개변수를 줄인 대신 질 좋은  데이터 를 학습시키고 미세 조정 파인 튜닝 하는 방식으로 성능을 개선하면  ,0
3,국내 첫  농업 유니콘  트릿지    손잡고  푸드 수출 늘린다,1, 와  데이터  기반  푸드 수출 확대를 위해 상호협력에 나선다고  일 밝혔다  양측은 전날 신호식 트릿지 대표와 김춘진   사장이 참여한 가운데  데이터  기반 수출 확대 및 저탄소 농업 활성화 방안  논의를 위한  ,0
4,앤드류 응  는 전기처럼   분야 응용 다목적 기술  석학 대담회,0,김세엽 셀렉트스타 대표  오혜연 한국과학기술원  교수  박이안 한국투자공사 디렉터 등도 참여해   서비스 성능을 좌우하는  데이터  활용사례  윤리와 신뢰성 확보방안 등을 주제로 발표와 토론을 했다  이종호  ,0
5,충남대병원 조강희 교수 연구팀 논문 노인의학 분야 국제학술지에 실려,0,연구팀은 질병관리청 국민건강영양조사  빅데이터 를 기반으로 하여  세 이상 성인 중 골다공증과  본 연구는 골근감소증 환자의 신체 활동을 국가 단위  빅데이터 를 활용하여 분석한 최초의 보고이며 향후 골근감소증  ,0
6, 인터뷰    신뢰성  완전하진 않아도 올곧게 가야 한다,0,  기술 발전에 필요한  데이터  수가 급증하고 생성형   등 새로운 기술들이 등장하면서   관련 서비스와  공급사들은  믿을 수 있는  데이터 만 사용했다    이상 정확도를 보인다  등으로 기술 신뢰도를  ,0
7,마취통증의학과 의원   년 사이  개소 증가,0,보건의료 빅데이터  개방시스템에 따르면  지난  분기 현재 전국의 마취통증의학과 의원수는 총  개소로 앞선  분기보다  개소  전년 동기보다는  개소가 늘어났다    지난  분기 전국의 마취통증의학과  ,0
8,한국농수산식품유통공사  대한민국 농수산식품산업 디지털 전환 앞장선다,0, 빅데이터    혁신자문위원회 를 열고 내외부 전문가와 함께 공사 디지털 혁신전략 추진현황 점검과 발전방안을 모색했다   빅데이터    혁신자문위원회 는  빅데이터    등 각 분야 외부 전문가들로 구성된   ,0
9,차세대  설명서 공개한 네이버 큐 와  클로바  차이는   아이티라떼 ,0,방대한  데이터 를 학습시켰기 때문에 오류 없는 정보를 제공할 수 있다고 기대하고 있죠  여기에 네이버는  한발 늦은 네이버가 방대한 국내  데이터 와 이용자들에 한결 익숙한 사용자 화면 등을 무기로 반격에 성공할  ,0
10,  한국사업장    국산자동차판매점  부문 동반  위 달성,1,또한   에서는 미래기술 진단  정비 중장기 로드맵을 구축해 체계적인 교육을 통해 기술인재를 육성하는 한편  첨단기기 개발 및 적용   빅데이터  기반 진단분석 시스템 도입 등으로 하이테크 서비스 역량을  ,0
11,  실적 전망  또   엇갈린 네이버 카카오 왜 ,1,카카오는 또 지난해  월     판교  데이터 센터 에 불이 나면서 대다수 서비스가 멈추는 장애를 겪은 뒤  자체   마련 등을 위해 인프라 투자금을 높이고 있다  인프라 구축 비용 상승에 따른 영업이익 감소는  ,0
12, 숭실대    명문대학  사이버 보안 반도체 인재 양성 선도,1,학과는  개발 빅데이터 인공지능 정보보호 영역의 교육 전문성을 인정받은  대학 내에 개설된다  학생들은  코드 관리 역량  모바일 보안  데이터 보안  인공지능  보안 등 사이버 보안 영역 전반에 걸친  ,0
13, 상명대  현장형  교육  새로운 가치 만드는 창의인재 키운다,1, 빅데이터 경진대회 를 진행하고 있다  학생들의 아이디어를 기반으로  데이터 클라우드 기술을 활용해 사회 문제를 해결하고자 한다  이 대회는  와 함께하는  빅데이터  경진대회  와 함께하는   경진대회 두  ,0
14,닭꼬치창업 프랜차이즈  청춘닭꼬치  수원정자점 신규 오픈,1,최근 청춘닭꼬치는 공정거래위원회에 등록된 정보공개서  빅데이터  기반으로 프랜차이즈의 생산성  성장성  안정성  노하우 집약도  본사 수익성  가맹점 수익성의  개 지표를 통해 전체  개의 프랜차이즈 중  가맹하고  ,0
15,서울대  초거대   원천 기술 확보 계획,0,초거대   모델 및 플랫폼 최적화 센터   개소식이 진행된 서울대학교 문화관 대강당 전경 서울대  데이터 사이언스대학원 교수들이 센터의 주축을 맡고    개발에 필수인 병렬처리  모델 경량화     응용 등의  ,0
