,title,title_label,description,description_label
0,도시 브랜드평판  부산 서울 용인 순,1, 빅데이터  분석결과  위 부산시   위 서울시   위 용인시 순으로 분석됐다  한국기업평판연구소는 대한민국 도시에 대해 브랜드 평판조사를 했다  대한민국 도시 브랜드에 대한 지난 한달간  빅데이터  평판을  ,1
1,경남 스마트팜 기술   중동 찍고 세계로 ,0, 앵커  정보통신 기술과  빅데이터 를 접목한 똑똑하고 편리한 농업  경남의 스마트팜 농업이 세계로 수출되고 있습니다  오랜 시설재배 경험과 제조업에 특화된 지역 환경에 가격 경쟁력까지 갖췄다는 평갑니다  배수영  ,1
2, 데뷔  년  박명수  피프티피프티를 향한 쓴소리 돈이나 많이 벌고 그런 얘 ,0,이날 방송에서  빅데이터  전문가 전민기는  빌보드 차트에서 돌풍을 일으키며 중소돌의 기적이라고 불린 피프티 피프티 멤버들과 소속사 분쟁 또 저작권 분쟁까지 뜨거운 이슈다 라며  너무 잘되고 있었다  세계적인  ,1
3,귀농 귀촌 정보 한눈에  그린대로  플랫폼 개시,0,또한 공간정보  기반으로 데이터를 연계해 주요 정보를 지도상에서 확인할 수 있도록 구성했다  희망  한편 농식품부는 앞으로  단계 구축사업을 통해  빅데이터  분석 기반 및 인공지능  기능을 도입해 맞춤형 추천  ,1
4, 라디오쇼  박명수  피프티피프티 사태 언급 돈이나 많이 벌고 얘기하지 ,0, 월  일 방송된   쿨   박명수의 라디오쇼 에서는  빅데이터  전문가 전민기와 함께하는  검색 차트  코너가 진행됐다  전민기는  안타까운 키워드다  빌보드 차트에서 돌풍을 일으키며  중소돌의 기적 이라고 물린  ,1
5,글로벌  석학  앤드류 응   는 전기  모든 분야 응용기술 ,0,유형의  데이터 로 확장되면서 발생하는 새로운 기회와 가능성에 대해 언급했다  아울러 인공지능이 가진  국내   스타트업 셀렉트스타 김세엽 대표는  데이터  중심 인공지능 을 주제로   서비스 성능을 좌우하는  ,1
6, 선생님   이 환자 지금 위급합니다  똑똑한  첨단 닥터 사부님 도우 ,1, 빅데이터 를 기반으로 분석 결과를 낸다  환자의 나이와 성별은 물론 혈압 맥박 체온 등 주요 활력징후를  여러 재활환자를 대상으로 한 임상연구를 통해 관련 의료 데이터도 함께 축적하고 있다  최근 도입한 웨어러블  ,1
7,과기정통부    석학  앤드류 응과의 대담회  개최,0,유형의  데이터 로 확장되면서 발생하는 새로운 기회와 가능성에 대해 설명했며   가 가진 위험성을  국내   스타트업 셀렉트스타의 김세엽 대표는  데이터  중심 인공지능 을 주제로   서비스 성능을 좌우하는  데이터  ,1
8,세계적   석학  앤드류 응과 대담회 는 다목적 기술 ,0,이와 함께 생성형   기반의 로우 코드 플랫폼을 통한   응용 프로그램 개발과 생성형  가 텍스트 이미지를 비롯한 다양한 유형의  데이터 로 확장되면서 발생하는 새로운 기회와 가능성에 대해 설명했습니다  또  ,1
9,과기정통부    전문가 앤드류 응 초청 대담회,1,이와 함께 응 교수는 생성형   기반의 로우 코드 플랫폼을 통한   응용 프로그램 개발과 생성형  가 텍스트 이미지를 비롯한 다양한 유형의  데이터 로 확장되면서 발생하는 새로운 기회와 가능성을 설명했다  이외에도  ,1
